,Area,Device Name,Device,PLC Tag,PLC dep gauge1,PLC dep gauge2,PLC dep pump1,PLC dep valve1,Volume,sim dep vol1,sim dep vol2,Cable Assembly Drawings,PLC Block 1,PLC Block 2,Other Device,PLC Block 1,PLC Block 2,NOTES
91,FEE(GATT) diff,AT1K0_GAS_GCC_120,GCC-120 (diff pump 6),MKS422,AT1K0_GAS_GPI_120,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
92,FEE(GATT) diff,AT1K0_GAS_PTM_130,PTM-130 (diff pump 7),PTM_Ebara_010M,AT1K0_GAS_GCC_130,,,,,,,TBD,,,Ebara ETC 010M,,,
93,FEE(GATT) diff,AT1K0_GAS_VRC_130,VGC-130 (diff pump 7),VRC,AT1K0_GAS_GCC_130,,,,,,,376-422-19,ES1004,ES2004,,,,
94,FEE(GATT) diff,AT1K0_GAS_GPI_130,GPI-130 (diff pump 7),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
95,FEE(GATT) diff,AT1K0_GAS_GCC_130,GCC-130 (diff pump 7),MKS422,AT1K0_GAS_GPI_130,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
96,FEE(GATT) diff,AT1K0_GAS_GPI_121,GPI-130 (roughing pump port?),MKS275,,,,,,,,376-422-10,EL3174-0002,ES9184,ES9070,,,
97,FEE(GATT) diff,AT1K0_GAS_PTM_140,PTM-140,PTM_Ebara_010M,AT1K0_GAS_GCC_140,,,,,,,TBD,,,Ebara ETC 010M,,,
98,FEE(GATT) diff,AT1K0_GAS_VRC_140,VGC-140,VRC,AT1K0_GAS_GCC_140,,,,,,,376-422-19,ES1004,ES2004,,,,
99,FEE(GATT) diff,AT1K0_GAS_GPI_140,GPI-140,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
100,FEE(GATT) diff,AT1K0_GAS_GCC_140,GCC-140,MKS422,AT1K0_GAS_GPI_140,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
101,FEE,EM1K0-XGMD-VGC-1,VV4S,VGC,AT1K0_GAS_GCC_140,EM1K0-XGMD-GCC-10,,,,,,261-804-05-C0/261-806-86-C0/261-806-86-C1,EP2238-0002,,,,,
102,FEE(XGMD),EM1K0-XGMD-GPI-10,GPI-10,MKS317,,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
103,FEE(XGMD),EM1K0-XGMD-PTM-10,PTM-10,PTM_Ebara_010M,EM1K0-XGMD-GCC-10,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
104,FEE(XGMD),EM1K0-XGMD-VGC-10,VGC-10,VGC,AT1K0_GAS_GCC_140,EM1K0-XGMD-GCC-10,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
105,FEE(XGMD),EM1K0-XGMD-GCC-10,GCC-10,MKS422,EM1K0-XGMD-GPI-10,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
106,FEE(XGMD),EM1K0-XGMD-PTM-20,PTM-20,PTM_Agilent,EM1K0-XGMD-GCC-20,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
107,FEE(XGMD),EM1K0-XGMD-VGC-20,VGC-20,VGC,EM1K0-XGMD-GCC-20,EM1K0-XGMD-GCC-30,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
108,FEE(XGMD),EM1K0-XGMD-GCC-20,GCC-20,MKS422,EM1K0-XGMD-GPI-10,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
109,FEE(XGMD),EM1K0-XGMD-PTM-30,PTM-30,PTM_Agilent,EM1K0-XGMD-GCC-30,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
110,FEE(XGMD),EM1K0-XGMD-VGC-30,VGC-30,VGC,EM1K0-XGMD-GCC-30,EM1K0-XGMD-GCC-40,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
111,FEE(XGMD),EM1K0-XGMD-GCC-30,GCC-30,MKS422,EM1K0-XGMD-GPI-10,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
112,FEE(XGMD),EM1K0-XGMD-PTM-40,PTM-40,PTM_Agilent,EM1K0-XGMD-GCC-40,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
113,FEE(XGMD),EM1K0-XGMD-VGC-40,VGC-40,VGC,EM1K0-XGMD-GCC-40,EM1K0-XGMD-GCC-50,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
114,FEE(XGMD),EM1K0-XGMD-GCC-40,GCC-40,MKS422,EM1K0-XGMD-GPI-10,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
115,FEE(XGMD),EM1K0-XGMD-PTM-50,PTM-50,PTM_Agilent,EM1K0-XGMD-GCC-50,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
116,FEE(XGMD),EM1K0-XGMD-VGP-50,VGP-50,VGC,EM1K0-XGMD-GCC-50,,,,,,,376-422-22-C0,ES1004,ES2004,,,,
117,FEE(XGMD),EM1K0-XGMD-GCC-50,GCC-50,MKS422,EM1K0-XGMD-GPI-50,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
118,FEE(XGMD),EM1K0-XGMD-GPI-50,GPI-50 ,MKS317,,,,,,,,261-807-10-C0,EL3174-0002,ES9184,ES9070,,,
119,FEE(XGMD),EM1K0-XGMD-PRT-50,PR-50,PTM_Agilent,EM1K0-XGMD-GCC-50,,,,,,,376-422-31-C0,ES1004,ES2004,EL3174-0002,,,
120,FEE(XGMD),EM1K0-XGMD-VCN-50,VCN-50,VCN,,,,,,,,376-422-14-C0,ES4004,,,,,
121,FEE(XGMD),EM1K0-XGMD-GPI-90,GPI-90,MKS317,,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
122,FEE(XGMD),EM1K0-XGMD-PTM-60,PTM-60,PTM_Agilent,EM1K0-XGMD-GCC-60,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
123,FEE(XGMD),EM1K0-XGMD-VGC-60,VGC-60,VGC,EM1K0-XGMD-GCC-60,EM1K0-XGMD-GCC-70,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
124,FEE(XGMD),EM1K0-XGMD-GCC-60,GCC-60,MKS422,EM1K0-XGMD-GPI-90,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
125,FEE(XGMD),EM1K0-XGMD-PTM-70,PTM-70,PTM_Agilent,EM1K0-XGMD-GCC-70,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
126,FEE(XGMD),EM1K0-XGMD-VGC-70,VGC-70,VGC,EM1K0-XGMD-GCC-70,EM1K0-XGMD-GCC-80,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
127,FEE(XGMD),EM1K0-XGMD-GCC-70,GCC-70,MKS422,EM1K0-XGMD-GPI-90,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
128,FEE(XGMD),EM1K0-XGMD-PTM-80,PTM-80,PTM_Agilent,EM1K0-XGMD-GCC-80,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
129,FEE(XGMD),EM1K0-XGMD-VGC-80,VGC-80,VGC,EM1K0-XGMD-GCC-80,EM1K0-XGMD-GCC-90,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
130,FEE(XGMD),EM1K0-XGMD-GCC-80,GCC-80,MKS422,EM1K0-XGMD-GPI-90,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
131,FEE(XGMD),EM1K0-XGMD-PTM-90,PTM-90,PTM_Agilent,EM1K0-XGMD-GCC-90,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
132,FEE(XGMD),EM1K0-XGMD-VGC-90,VGC-90,VGC,EM1K0-XGMD-GCC-90,,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
133,FEE(XGMD),EM1K0-XGMD-GCC-90,GCC-90,MKS422,EM1K0-XGMD-GPI-90,TV2K0-GCC-1,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
